# avg_degree,9.8
# msgs_per_node_per_step,9.8
# total_msgs_per_step,980.0
# steps_per_epoch,25.0
# total_msgs_per_epoch,24500.0
epoch,mean,median,min,max,std
59,0.601601,0.6036,0.5532,0.6344,0.017651795914297212
60,0.599247,0.60625,0.5428,0.6397,0.026719968020190443
61,0.61002,0.6109,0.5778,0.6363,0.015180309614760827
62,0.6012179999999999,0.6043000000000001,0.5543,0.6338,0.01783476032919983
63,0.593609,0.59615,0.541,0.6312,0.02257080457139266
64,0.6160760000000001,0.62755,0.5519,0.6429,0.0268337441293607
65,0.607831,0.621,0.5102,0.644,0.036553677503091256
66,0.624988,0.62755,0.5705,0.6479,0.017648502939343037
67,0.615116,0.6157,0.5811,0.6454,0.01458729392313735
68,0.6247640000000001,0.6267,0.5937,0.6539,0.014549690855822332
69,0.6204600000000001,0.61975,0.5921,0.6511,0.015200414468033434
70,0.6136840000000001,0.6218,0.5655,0.6484,0.025331836569818616
71,0.6126799999999999,0.6159,0.5589,0.6517,0.021155278301171074
72,0.6195680000000001,0.6243,0.56,0.6551,0.024334251087715843
73,0.6175160000000001,0.6226,0.5426,0.6499,0.024137712070533942
74,0.6242349999999999,0.6275,0.597,0.651,0.015830864632103963
75,0.6263409999999999,0.6281,0.5901,0.6571,0.019217679854758758
76,0.6322110000000001,0.63465,0.5683,0.661,0.021445460568614506
77,0.6241150000000001,0.631,0.586,0.652,0.019895197284772025
78,0.6222060000000001,0.62045,0.585,0.655,0.019243455095174573
79,0.6222179999999999,0.6242,0.5795,0.6572,0.02077103935772112
80,0.6367910000000001,0.63905,0.6105,0.6566,0.012664186472095235
81,0.634997,0.63125,0.6044,0.667,0.018844142087131477
82,0.631795,0.6432,0.5759,0.6629,0.026227277308176693
83,0.637022,0.6411,0.5905,0.6634,0.01981770208677079
84,0.634763,0.6378,0.5979,0.6686,0.01986477613767646
85,0.625365,0.6351,0.5535,0.6628,0.02820340183382139
86,0.6411279999999999,0.64705,0.5706,0.6696,0.02280207043230943
87,0.631642,0.64045,0.5334,0.6682,0.03081877732811606
88,0.6231710000000001,0.63165,0.5563,0.6593,0.026761764870800273
89,0.637635,0.6389,0.5853,0.6628,0.01702073074224487
90,0.647535,0.6476,0.6171,0.6726,0.017109210238932717
91,0.644164,0.6462,0.6185,0.6696,0.010230860374377114
92,0.625499,0.6279,0.5773,0.6605,0.020292400030553312
93,0.6425960000000001,0.6447,0.5997,0.6772,0.02117992407918405
94,0.6366,0.64665,0.5604,0.665,0.024978110416923046
95,0.6346520000000001,0.6359,0.5684,0.6705,0.02223696238248381
